School Name,State Name [Public School] Latest available year,School Name [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location State Abbr [Public School] 2024-25,Location ZIP [Public School] 2024-25,School Type [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Lowest Grade Offered [Public School] 2024-25,Highest Grade Offered [Public School] 2024-25,"Total Students, All Grades",Full Address,Latitude,Longitude
RIO GRANDE ELEMENTARY,New Mexico,RIO GRANDE ELEMENTARY,940 EAST HERRERA,HATCH,NM ,87937,1-Regular school,Elementary,3rd Grade,5th Grade,240,"RIO GRANDE ELEMENTARY, HATCH, NM",,
RUBEN S. TORRES ELEMENTARY,New Mexico,RUBEN S. TORRES ELEMENTARY,1910 8TH ST NW,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,363,"RUBEN S. TORRES ELEMENTARY, DEMING, NM",,
SAN LORENZO ELEMENTARY,New Mexico,SAN LORENZO ELEMENTARY,5 GALAZ ST,SAN LORENZO,NM ,88041,1-Regular school,Elementary,Prekindergarten,5th Grade,78,"SAN LORENZO ELEMENTARY, SAN LORENZO, NM",,
SIERRA ELEMENTARY,New Mexico,SIERRA ELEMENTARY,1500 NORTH SILVER,T OR C,NM ,87901,1-Regular school,Elementary,4th Grade,5th Grade,184,"SIERRA ELEMENTARY, T OR C, NM",,
SILVER HIGH,New Mexico,SILVER HIGH,3200 NORTH SILVER ST,SILVER CITY,NM ,88061,1-Regular school,High,9th Grade,12th Grade,618,"SILVER HIGH, SILVER CITY, NM",,
SILVER SCHOLARS ACADEMY,NEW MEXICO,SILVER SCHOLARS ACADEMY,600 E 32ND STREET,SILVER CITY,NM ,88061,1-Regular school,Prekindergarten,Prekindergarten,Prekindergarten,43,"SILVER SCHOLARS ACADEMY, SILVER CITY, NM",,
SIXTH STREET ELEMENTARY,New Mexico,SIXTH STREET ELEMENTARY,405 WEST 6TH,SILVER CITY,NM ,88061,1-Regular school,Elementary,Kindergarten,Kindergarten,123,"SIXTH STREET ELEMENTARY, SILVER CITY, NM",,
SNELL MIDDLE,New Mexico,SNELL MIDDLE,501 TOM FOY BLVD,BAYARD,NM ,88023,1-Regular school,Middle,6th Grade,8th Grade,201,"SNELL MIDDLE, BAYARD, NM",,
T OR C ELEMENTARY,New Mexico,T OR C ELEMENTARY,1500 NORTH SILVER,T OR C,NM ,87901,1-Regular school,Elementary,Prekindergarten,3rd Grade,367,"T OR C ELEMENTARY, T OR C, NM",,
T OR C MIDDLE,New Mexico,T OR C MIDDLE,1802 PERSHING ST,T OR C,NM ,87901,1-Regular school,Middle,6th Grade,8th Grade,255,"T OR C MIDDLE, T OR C, NM",,
